MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine
14.9,28.8,0,5.8,8.1
17.1,29.6,0,5.8,9.2
18.2,22.6,1.8,8,0
16.8,22.8,9,2.8,0.3
13.6,27.4,1,2.8,8
14.5,24.2,0,6.8,5.9
12.4,19.9,16.2,5.4,5.6
10.4,20.9,0,4,8.9
9.1,23.1,0,5.8,9.6
8.9,26,0,5,10.7
14.5,24.2,4.4,6.6,5.9
12.6,18.2,11,3.2,0.4
8.6,24.2,0.2,2.8,12.7
10.8,25.2,0,5.6,12.6
11.2,26.1,0,7.2,12.6
12.1,24.1,0,7.4,10.2
10.8,25.8,0,6.8,11.7
11.4,27.1,0,5.6,12.1
12,28.9,0,7.2,8.2
16.3,24.8,1.8,7.8,3.8
12.7,28.6,6.6,3.2,8.6
12.7,25.1,0,7.8,12.4
12,23.8,0,10.4,12.4
11.5,25.9,0,5.2,10.2
13,28.2,0,5,11.6
11.7,27.6,0,7.8,8.1
14.8,17.3,0,7.6,0.8
7.7,18.4,10.4,5.2,12
4.4,21.8,0,6.2,12.1
7.4,24.4,0,6.2,11.6
8.3,27.3,0,5.6,10.1
10.1,28.2,0,6,7.3
12,27.6,0,6,11
12.9,31.8,0,6,11.3
10.8,29.2,0,8.4,7.5
9.5,27.4,3,4.8,11.5
12.1,27.8,0,5,11.5
12.5,31.7,0,6.6,11.2
13.9,34.7,0,6.4,8.5
13.3,31.7,0.2,7.8,11
13.2,33.1,0,8.6,9.7
12.3,33.8,0,7.2,11.3
13.8,35.2,0,6.4,11.2
11.3,32.3,0,9.4,11.4
11.7,30.2,0,7.8,11.2
12.5,29.9,0,5.8,10.7
15.1,26.2,0,9,9.8
11.5,29.3,0,5.2,8
13,14.8,0,8.2,0
11.6,19.6,0,2.8,1.6
12.8,24.9,0,2.4,6.2
15.5,22.4,0.6,4.8,1.9
13.1,17.4,6.4,2.8,0
12.6,20.2,19.8,2.6,9.1
4.4,18.3,0,4.6,9.6
4.4,18.2,0,3.6,11
7.1,18.5,0,3.4,10
4.2,18.9,0,6.4,10.8
9.6,18.8,0,6.4,10
3.5,21.8,0,6,10.3
5.3,23.3,0,3.6,5.6
7,14.3,2.6,9.6,9.7
0.4,18.9,0,4.8,9.6
3.2,21.4,0,3.2,10.6
5.9,21.8,0,2.8,9.3
8.1,20.5,0,3.8,7.8
6.9,18.9,0,4.2,4.1
5.6,19.5,0,2.8,6.8
7.2,22.9,0,2.2,9.5
7.1,23.4,0,3.4,10.2
6.1,24.1,0,4.6,6.1
7.1,19.8,2,3.2,7.7
5.6,18,5.2,3.8,9.3
5.4,20.7,0,3.2,10.8
6.3,19.3,0,3.4,10.6
5.3,21,0,4.6,6.3
7.9,19.7,0,3.2,8.3
8.4,16.1,0,3,4.9
8.1,18.7,0,4.4,7.1
2.4,20.6,0,2.8,10.1
5.6,18.9,0,3.8,8
7.5,19,0,4,6.8
2.5,21.2,0,2,7.9
5,20.9,0,2,8.9
3.8,21.7,0.2,2.8,6.5
7.9,18.7,0,5.8,5.8
4.3,11.3,7.2,4.4,5.6
-2.1,13.8,0.2,1.8,9.5
-1.8,14.8,0,1.4,7
3.8,13.8,0,2.8,0.8
2.1,17.3,0,1.6,9.2
0.5,17.1,0,4,9.4
-0.9,16.7,0,2.4,9.3
0.4,19,0,3.4,8.3
7.5,16.8,0,2.8,3
8.3,17.6,0,3.4,9.4
-0.2,18.1,0,4.4,9.4
0.1,21,0,2.2,9.2
1.5,20.9,0,2.4,9.3
8.3,17.4,0,2,1.6
9.4,19.2,0,2.2,7.7
1.3,19,0,2.2,9.4
2.2,18.6,0,2,9.2
-0.4,17.9,0,2.4,8.7
4.5,16,1.8,3,4.3
7.9,12.3,1,1.8,1.7
4.3,14.1,0.8,1.6,8.8
-2.7,18.1,0,2.2,9.3
0.3,17,0,2.2,5.6
3.8,17.4,0,2.6,7.3
2.4,14.7,0,2.6,9.2
1.2,14.8,0,2.4,6.7
1.2,14.5,0,1.2,8.9
-0.3,17.5,0,1.6,8.4
4.7,18.5,3.8,2,5.1
4.9,18.1,5.2,1.2,8.5
1.4,16.8,0,1.6,8.2
2.2,17.5,0.2,1.2,8.5
-0.1,18,0,2,8.6
-0.9,18.5,0,2.2,8.9
0.6,14,0,2.2,2.7
4.6,15.7,0,1,0.6
9.8,14.4,0.8,0.6,0
10.6,15.1,3.8,0.2,2.6
7.8,15.1,0,2.2,2.7
4.4,16.7,0,1.6,9
-0.2,15.5,0,1.4,9
4.3,14.5,0,2,3
7.4,16.3,0,1.2,0
8.6,13.7,6.2,2.2,0
10.2,15,4.8,0.2,0.5
7.3,16.4,0.2,1.2,8.5
8.7,13,0.6,3.2,7.1
1,11.8,0,2.2,7.2
2.1,14.7,0,2.6,8.2
6.4,16.9,0,2.6,5.9
5.4,15.5,0,1.6,5.8
0.4,15.5,0,1,4.7
4,15.9,0,0.6,2
8.4,11.7,4.8,0.6,0
0.4,13.9,0.6,0.8,7.7
4.2,14,0,1.4,7.6
0.9,12.9,0,2,6.8
0.8,13,0,1.4,4.1
4.3,12.6,0,2,9
6.3,11.8,0,2.6,6.5
3.5,14.3,0,3.4,8.9
-1.5,14.8,0,2.2,8
1.2,16,0,1.4,6.1
0.5,15.4,0,2.4,6.4
5.3,11.7,2,3.6,5.6
6.6,13.1,0.2,2.8,8.2
-1.6,11.5,0,2.8,8.9
-3.1,12,0,1.8,3.9
-0.1,14.2,0,1.4,7
-0.6,14,0,1.2,7.1
3,11.1,0.8,1.4,0.2
2.9,9.5,16.8,1.4,6.5
-1.3,8.8,0,0.8,2.8
1.8,8.7,0,1.8,1.2
2.9,8.4,1.6,1.4,7.7
-2.6,11.1,0.2,1.4,6.5
0.5,11,0,1,0.9
2.7,16.5,0,0.6,8.9
-1.7,13.6,0,1.8,5.2
-0.9,12.8,0.2,2,1.9
-1.8,11.5,0,0.6,4.7
1.3,10.6,0,0.8,5.6
2.4,11.6,1.2,2.2,8.1
-1.1,11,0.2,1.8,0
2.3,11.6,19.2,1.8,7.5
-2.2,11.6,0,1.4,9.2
-3.5,11.2,0,1.6,7.7
-1,12.2,0,1.6,8.4
-2.1,12.9,0,1.2,8.1
-2,11.3,0.2,2.2,5.9
-2.3,9.7,0,1.4,1.9
-1.6,10.7,1.4,0.8,9.1
0.8,12.2,0,1.8,8.6
-2.8,12.2,0,2.6,8.7
-2.8,14.1,0,2.2,6.8
3,9.7,1,2.6,0.7
4.4,11.5,6.6,2.2,9.3
2.3,12.8,0,2.2,9.6
-2,12.3,0,2.4,5.8
-1.9,10.9,0,1.8,4.2
4.8,14.1,4,1.6,8.3
-0.6,11.1,0,3,5
3.1,12.5,1.2,1.4,7.2
-2.9,9.6,0,1.8,7.3
-3.5,7.6,0.4,2.4,4.7
-0.3,9.3,0.4,1.4,9.9
0.1,10.4,0,1.8,7.9
2.3,12.2,0,2.8,9.8
2.1,10.7,0,3.4,9.4
4.6,14.7,0,4.4,8.4
3.7,14.2,0,3,10
-1.3,11.6,0,4,10.4
-3.4,12.5,0,3,6.8
-5.3,13.1,0,2.2,7.9
0,14,0,2.4,4.7
2.4,14.1,0,3,1.8
-0.6,12.2,0,2.6,7
2.3,11.6,0,5.4,9.5
-3.7,14.4,0,2.6,10.4
-0.9,14.2,0,2.6,7.8
-1.5,17.3,0,2.8,9
-3.3,15.1,0,3,0
-0.1,14.7,0,3.4,9.9
-0.2,16.2,0,3.4,5.9
0.5,16.3,0,1.8,4.1
6.1,17.2,4,2.2,2.4
4.1,14.8,7.4,2.6,10.8
0.1,16.7,0,3.8,10.2
3.2,12.1,0,2.8,3.9
5.4,11.3,0.2,2.2,0.6
5.8,12.4,0,1.6,0
6.3,16.1,0,1.8,2.9
-0.9,16.7,0,2.8,8.6
0.2,15.5,1,2.4,9.4
-3.7,14.7,0,3.4,10.9
-2.7,15.2,0,4,9.7
-2.5,16.6,0,3,9.9
-0.5,21.6,0,5,9.9
9,25.5,0,5.6,10.2
13.1,19.4,9.8,8.8,6
8.7,19.7,1.6,5.2,8
3.9,13.2,3.4,6.6,11
0.7,14.1,0,5.6,9
1.1,18,0,1.6,8.6
5.1,23.3,0,3.6,10.3
7.5,23.3,0,6.8,10.9
4.7,19.5,0,10,11
3.2,21.9,0,6.8,5.2
7.8,16.2,17.4,6.4,7.9
2.4,17.3,0,2.2,11.3
3.2,18.7,0,2.6,11.1
2.5,20.9,0,3.6,10.6
6.5,25.7,0,4.8,10.5
14.4,24.3,0,9.4,11.1
4.9,18.9,0,9.6,9.4
2.3,16.8,0,4.8,11.4
1.4,20.6,0,5.4,11.1
5.6,27.6,0,5.2,11
16.8,28.9,0,10,10.8
14.4,20.7,7.6,9.4,4.9
10.3,21.3,3,4.2,6.7
11.2,18,0,4.8,8.4
0.3,16,8.2,5.4,11.8
0.5,17.9,0,5.8,11.5
0.5,20,0,6.2,11.5
4.6,22,0,4.4,11
8.2,22.4,0,5.4,11.2
4.5,23.9,0,4.8,11.7
6.7,26.1,0,6.2,7.5
11.9,21.1,13.2,6.6,0
9.2,19.6,0.6,3.4,10.4
4.4,21,0,4.2,12.2
5,24.1,0,6.2,12
6.7,24.7,0,5.4,8.6
8.3,28.5,0,5.8,9.8
11.3,27.4,0.2,7.6,12.1
9,20.6,0,9,6.2
3.4,15,0.8,4.8,11.7
3.2,18,0,7.4,12.2
0.9,20.7,0,5.4,8.4
3.3,25.5,0,5.2,10.8
7.9,26.1,0,6.8,3.5
9,30.7,0,7.6,12.1
7.1,28.4,0,11.6,12.7
12.5,19.9,0,8.4,5.3
12.5,26.9,0,5,7.1
12.3,30.2,0,6,12.6
